SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
St Mark's Block Association,B,PARK,0.211,40.67344661731587,-73.9218733288862
McKinley Square,X,PARK,0.12,40.83111556826387,-73.90070186619373
Fantasy Garden,B,PARK,0.23,40.66432236961531,-73.91687691218226
Aesop Park,R,PARK,0.912,40.50955834969986,-74.22989752905653
Msgr. McGolrick Park,B,PARK,9.134,40.724440934811696,-73.94335395129389
Bill Brown Playground,B,PARK,3.214,40.59216587548499,-73.94566112809943
Ten Eyck Houses Garden,B,PARK,0.114,40.70980060980491,-73.95014012508756
Lt. Joseph Petrosino Park,B,PARK,0.871,40.619119770005724,-73.99851228397858
L/CPL Thomas P. Noonan Jr. Playground,Q,PARK,1.05,40.741100227620926,-73.92248063516652
Benninger Playground,Q,PARK,0.574,40.70705652218426,-73.89828207782672
Park Of The Americas,Q,PARK,3.076,40.74856510562222,-73.86192271928594
Park,X,PARK,0.023,40.84219981872802,-73.88875805576812
